,Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,Completion Type,Year Drilled
9132,Operator 41,Well 9133,MBH,9326.0,36.0,154,101,3,3749220.0,63868.0,2012-04-12,880.2103879026961,542.9651545036161,382.100591715976,321.86427058221904,286.60694718387003,P & P,48.196727393322895,-103.665378713497,SLICKWATER (HC),660.0,111.04,P & P,2012.0
9137,Operator 30,Well 9138,MBH,8961.0,30.0,159,101,8,3027090.0,28937.0,2012-04-04,154.83234714003902,95.1786105632259,77.95310103002409,68.18248228504639,61.6863905325444,Sleeves,48.6055986727546,-103.76079661679199,CROSSLINKED (HC),660.0,22.01,Sleeves,2012.0
9139,Operator 18,Well 9140,MBH,10007.0,30.0,153,99,20,3255427.0,49746.6666666667,2012-07-09,647.9289940828401,591.310541310541,531.119877273723,453.44802396084395,396.84144203375,Sleeves,48.053870524856904,-103.44214082026899,CROSSLINKED (HC),660.0,151.45,Sleeves,2012.0
9140,Operator 1,Well 9141,MBH,9533.0,30.0,159,95,12,3009065.0,45808.0,2013-06-09,358.809993425378,305.665132588209,267.78435239973703,229.618671926364,203.350317773395,P & P,48.605157674792395,-102.89767095594999,SLICKWATER (HC),618.4657599999999,76.17,P & P,2013.0
9142,Operator 18,Well 9143,MBH,9535.0,30.0,154,95,4,3622738.0,87063.0,2012-06-17,774.095989480605,744.981371904449,662.946526408065,596.435093870991,527.575060267368,Sleeves,48.1962682291567,-102.90517379729201,SLICKWATER (HC),527.1167,191.68,Sleeves,2012.0
9143,Operator 11,Well 9144,MBH,10110.0,36.0,153,100,26,4495534.0,75781.0,2012-05-16,791.420118343195,559.533201840894,440.55993863686206,368.74132515158203,327.736686390533,Sleeves,48.0408418398166,-103.51514913991,LINEAR GEL (HC),660.0,118.0,Sleeves,2012.0
9147,Operator 18,Well 9148,MBH,9287.0,38.0,157,97,11,4535473.0,73066.0,2012-05-14,349.47403024326104,240.06136313828603,205.089853166776,182.971729125575,166.113302651764,Sleeves,48.4317217598602,-103.176477820075,LINEAR GEL (HC),660.0,66.16,Sleeves,2012.0
9150,Operator 18,Well 9151,MBH,9437.0,36.0,156,95,30,3794173.0,59267.0,2012-05-07,374.42472057856696,339.075169844401,283.371685294762,247.65505150120498,223.298816568047,Sleeves,48.3120197383978,-102.951549070922,LINEAR GEL (HC),588.00097,85.64,Sleeves,2012.0
9153,Operator 35,Well 9154,MBH,9374.0,30.0,157,102,1,3306335.0,36833.0,2012-04-05,283.33333333333303,257.023887793119,220.551172474249,190.328000584411,166.222879684418,Sleeves,48.4589084223472,-103.80566448834,LINEAR GEL (HC),660.0,62.95,Sleeves,2012.0
9155,Operator 25,Well 9156,MBH,9959.0,35.0,157,100,2,3458002.0,76949.0,2012-03-14,536.817882971729,393.063773833005,305.210387902696,268.986047191175,243.039119000657,1 Sleeve and 34 P & P,48.459037579268,-103.564751937943,CROSSLINKED (HC),660.0,87.94,Sleeves and P & P,2012.0
9156,Operator 41,Well 9157,MBH,9364.0,38.0,155,100,4,3800940.0,77876.0,2012-06-05,778.632478632479,611.461757615604,499.506903353057,429.49448462269,372.15647600263003,P & P,48.2834501943762,-103.54779662910299,SW-GEL HYBRID,569.31235,134.72,P & P,2012.0
9157,Operator 41,Well 9158,MBH,9965.0,39.0,155,101,33,4035790.0,70981.0,2012-03-24,571.9921104536489,424.42472057856696,333.059390751698,295.73014829425097,274.202827087442,P & P,48.198364303471,-103.67262710357402,SLICKWATER (HC),660.0,110.92,P & P,2012.0
9162,Operator 24,Well 9163,MBH,9102.0,35.0,156,101,36,4059652.0,241234.0,2012-06-01,625.9697567389869,507.473153627,451.58886697348197,415.147198480532,380.95003287311005,P & P,48.286011825290004,-103.612184599464,SLICKWATER (HC),660.0,154.27,P & P,2012.0
9163,Operator 1,Well 9164,TFH,9602.0,30.0,159,95,12,3055099.0,50856.0,2013-01-21,394.64168310322196,364.36554898093397,335.026298487837,292.990722477902,258.056651325882,P & P,48.60515784713671,-102.89729869222799,CROSSLINKED (HC),632.194745,102.07,P & P,2013.0
9168,Operator 25,Well 9169,MBH,9527.0,35.0,158,100,13,2796140.0,54366.0,2012-07-29,376.988823142669,312.765724304186,273.016655708963,252.253634304916,227.73394696471598,OH,48.5170613832967,-103.546312497104,CROSSLINKED (HC),660.0,83.6,OH,2012.0
9169,Operator 18,Well 9170,TFH,8789.0,34.0,154,98,17,1895807.0,42137.8571428571,2012-06-21,435.996055226824,361.99868507560797,301.419022572869,248.79100007305098,215.168200745124,Sleeves,48.1687274907502,-103.32005187122499,LINEAR GEL (HC),660.0,81.35,Sleeves,2012.0
9170,Operator 18,Well 9171,MBH,8618.0,38.0,155,95,7,986571.0,35819.0,2012-02-10,680.703484549638,461.472715318869,330.035064650449,268.00715903279996,230.31996493535,Sleeves,48.2616578641792,-102.95324771598699,CROSSLINKED (HC),365.2371,88.4,Sleeves,2012.0
9173,Operator 2,Well 9174,MBH,9787.0,24.0,153,98,16,2764991.0,67756.0,2012-02-04,375.83826429980303,304.09818102125803,266.085908393601,243.553217912192,224.528818759588,P & P,48.081608135334996,-103.29932424223,SLICKWATER (HC),660.0,78.15,P & P,2012.0
9174,Operator 18,Well 9175,MBH,9544.0,36.0,156,95,30,3691792.0,81372.5,2012-05-01,650.657462195924,632.2046898969979,516.239316239316,424.311490978158,364.96000438308096,Sleeves,48.3120204370226,-102.95175466623002,LINEAR GEL (HC),470.4998,135.78,Sleeves,2012.0
9176,Operator 1,Well 9177,MBH,10205.0,30.0,156,99,7,3311460.0,57288.0,2012-07-01,283.662064431295,235.90839360070098,202.377821608591,180.20308276718498,161.127547666009,P & P,48.343284638635204,-103.466051584536,LINEAR GEL (HC),660.0,61.49,P & P,2012.0
9178,Operator 18,Well 9179,MBH,9421.0,38.0,157,99,30,2786633.0,58336.0,2012-05-26,800.7232084155161,512.206881437651,389.23405654174894,320.921908101395,281.728029804953,Sleeves,48.400757102770605,-103.525092305817,CROSSLINKED (HC),660.0,103.84,Sleeves,2012.0
9180,Operator 41,Well 9181,MBH,9760.0,39.0,155,103,9,3909580.0,85720.0,2012-05-13,378.698224852071,260.68376068376097,211.92198115275002,191.452991452991,173.391957045803,P & P,48.2567318928973,-103.933223281257,SLICKWATER (HC),660.0,66.35,P & P,2012.0
9183,Operator 24,Well 9184,MBH,8921.0,28.0,155,99,11,4187496.0,83819.0,2012-08-02,599.835634451019,477.96405873329,386.90554459785204,319.526627218935,282.451238220469,P & P,48.25659770722011,-103.36999226111,CROSSLINKED (HC),660.0,104.89,P & P,2012.0
9188,Operator 18,Well 9189,MBH,9943.0,35.0,157,97,20,3221359.0,62281.0,2012-10-23,304.503616042078,237.234275695814,192.87201402586,160.712981225802,137.453429761122,Sleeves,48.4024968002462,-103.244553166153,LINEAR GEL (HC),660.0,53.89,Sleeves,2012.0
9189,Operator 35,Well 9190,MBH,8878.0,24.0,157,103,4,2388562.0,33168.0,2012-01-19,216.568047337278,171.433267587114,135.86456278764,111.78683614581101,96.2606837606838,Sleeves,48.4591107198848,-104.001170725721,CROSSLINKED (HC),660.0,38.07,Sleeves,2012.0
9191,Operator 18,Well 9192,MBH,10470.0,38.0,156,98,14,5116389.0,72346.0,2012-04-03,466.43655489809305,450.72320841551596,321.301775147929,267.539630360143,237.206881437651,Sleeves,48.340750021415005,-103.251629847236,CROSSLINKED (HC),660.0,93.92,Sleeves,2012.0
9195,Operator 41,Well 9196,MBH,10083.0,34.0,154,100,5,3939391.0,73233.0,2012-06-11,768.6390532544381,610.9905763751921,496.15384615384596,407.69596026006303,354.522792022792,P & P,48.196664077850706,-103.56763638898701,LINEAR GEL (HC),660.0,129.67,P & P,2012.0
9200,Operator 41,Well 9201,MBH,9711.0,39.0,155,101,33,3939960.0,79895.0,2012-03-09,759.171597633136,570.326539557309,467.97611220688106,406.80473372781097,365.579114617576,P & P,48.1983642084714,-103.67242190437099,SLICKWATER (HC),660.0,137.8,P & P,2012.0
